slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population
strandbeiz,Strandbeiz,47.21586170,8.84309840,8645,CH,l,Zurichsee,jona-city,zurichsee,True,Rapperswil-Jona,3340,26999
strandboden-biel,Strandboden-Biel,47.13251000,7.23314200,2503,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159
sundbach-strand,Sundbach strand,46.68438600,7.79476800,3803,CH,l,Thunersee,beatenberg,thunersee,True,Beatenberg,571,1195
thun-strandbad,Thun Strandbad,46.73993900,7.63352000,3504,CH,l,Thunersee,thun,thunersee,True,Thun,942,43734
thunersee_spiez_meierd_1,thunersee_spiez_meierd_1,46.70443680,7.65788240,3646,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812
thur_schoenenberg_schaera,Thur_Schoenenberg_SchaerA,47.52407260,9.19833470,9214,CH,r,Thur,kradolf-schonenberg,thur,False,Kradolf-Schönenberg,4501,3592
thur_schwarzenbach_meiliw,thur_schwarzenbach_meiliw,47.44678660,9.06381560,9500,CH,r,Thur,wil,thur,False,Wil (SG),3427,23966
tiger-duck-beach,Tiger duck beach,46.51825600,6.58254600,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668
tolochenaz,Tolochenaz,46.49750950,6.48287470,1131,CH,l,Lac Léman,tolochenaz,lac-leman,True,Tolochenaz,5649,1933
tschilljus,Tschilljus,46.30439900,7.58026200,3970,CH,r,Rhône,salgesch,rhone,True,Salgesch,6113,1548
toss_bauma_kurthe,Töss_Bauma_KurthE,47.37017570,8.86782490,8494,CH,r,Töss,bauma,ti12ss,False,Bauma,297,4965
toss_kollbrunn_burgid,töss_kollbrunn_bürgid,47.45456980,8.77968000,8483,CH,r,Töss,zell,ti12ss,False,Zell (ZH),231,6032
