slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_na_1,is_2020,NUMPOINTS
rhein_laag_jungbluthn,rhein_laag_jungbluthn,47.691525400000003,8.717210400000001,Büsingen a Hochrhein,78266,CH,r,Rhein,busingen-a-hochrhein,rhein,False,0
rivapiana,Rivapiana,46.172078999999997,8.813255000000000,Minusio,6648,CH,l,Lago Maggiore,minusio,lago-maggiore,True,14
rocky-plage,Rocky plage,46.209736749999998,6.164952370000000,Genève,1208,CH,l,Lac Léman,geneve,lac-leman,True,7
rolle-plage,Rolle-plage,46.461300000000001,6.349739000000000,Rolle,1180,CH,l,Lac Léman,rolle,lac-leman,False,10
route-13,Route 13,46.162520999999998,8.782579100000000,Locarno,6600,CH,r,Maggia,locarno,maggia,True,2
ruisseau-de-la-croix-plage,Ruisseau de la croix plage,46.813920000000003,6.774700000000000,Cheyres,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,13
saint-sulpice,Saint Sulpice,46.507807999999997,6.545344000000000,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,2
san-nazzaro-gambarogno,san nazzaro-gambarogno,46.130443000000000,8.798657000000000,Gambarogno,6575,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,26
schiffenensee_duedingen_hirschij,schiffenensee_duedingen_hirschij,46.859151400000002,7.176437400000000,Düdingen,3186,CH,l,Schiffenensee,dudingen,schiffenensee,False,0
schmerikon-bahnhof-strand,Schmerikon Bahnhof Strand,47.224780000000003,8.944179999999999,Schmerikon,Postal-code,CH,l,Zurichsee,schmerikon,zurichsee,True,18
schusspark-strand,Schüsspark strand,47.146500000000003,7.268620000000000,biel,2504,CH,r,Schüss,biel,schuss,True,0
seeflechsen,seeflechsen,47.130222900000000,9.103399599999999,Glarus Nord,8872,CH,l,Walensee,glarus-nord,walensee,True,15
seemuhlestrasse-strand,Seemühlestrasse Strand,47.128639999999997,9.295100000000000,Walenstadt,8880,CH,l,Walensee,walenstadt,walensee,True,14
seez,Seez,47.119830000000000,9.300250999999999,Walenstadt,8880,CH,r,Seez,walenstadt,seez,True,14
seez_spennwiesenbrucke,Seez_Spennwiesenbrücke,47.114947999999998,9.310123000000001,Walenstadt,8880,CH,r,Seez,walenstadt,seez,True,6
sempachersee_sempach_tampec,sempachersee_sempach_tampec,47.128618099999997,8.191873700000000,Sempach,6204,CH,l,Sempachsee,sempach,sempachsee,False,0
sense_torishaus_g-cubes,Sense_Törishaus_g cubes,46.883120599999998,7.353188900000000,Köniz,3174,CH,r,Sense,koniz,sense,False,0
sentiero-giro-del-golf-spiaggia,Sentiero Giro del Golf spiaggia,46.145769999999999,8.790430000000001,Ascona,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,2
sihlsee_einsiedeln_schilligerllacherl,sihlsee_einsiedeln_schilligerllacherl,47.141393800000003,8.760358800000001,Einsiedeln,8840,CH,l,Sihlsee,einsiedeln,sihlsee,False,0
