,code,rank,location,population,groupname,l_weight,type,pcs_m,n_times,quantity,% of total,n_weight
279,G100,183,weissenau-neuhaus,5751.0,waste water,0.08,l,0.0,4,0,0.0,0.032
280,G100,184,hafeli,2536.0,waste water,0.016,l,0.0,2,0,0.0,0.016
281,G100,184,la-petite-plage,30157.0,waste water,0.088,l,0.0,1,0,0.0,0.008
282,G100,184,plage-de-cheyres,2320.0,waste water,0.088,l,0.0,3,0,0.0,0.024
283,G100,184,thunersee_spiez_meierd_1,12812.0,waste water,0.088,l,0.0,3,0,0.0,0.024
284,G100,185,aare-solothurn-lido-strand,16777.0,waste water,0.008,r,0.0,1,0,0.0,0.008
285,G100,185,aare_brugg_buchie,11179.0,waste water,0.008,r,0.0,1,0,0.0,0.008
286,G100,185,aare_koniz_hoppej,41784.0,waste water,0.008,r,0.0,1,0,0.0,0.008
287,G100,185,bielersee_vinelz_fankhausers,867.0,waste water,0.088,l,0.0,1,0,0.0,0.008
288,G100,185,gals-reserve,827.0,waste water,0.016,l,0.0,2,0,0.0,0.016
289,G100,185,plage-de-cheyres,2320.0,waste water,0.088,l,0.0,2,0,0.0,0.016
